orig_process_id,orig_exchange_id,process_id,exchange_flow_id,process_name,exchange_flow_name,exchange_amount,exchange_unit,allocation_factor,allocation_type
027d304f-00e4-380e-9bba-4e6bde2d685a,e612ea29-a772-3244-979c-f5bb4eaac256,027d304f-00e4-380e-9bba-4e6bde2d685a.e612ea29-a772-3244-979c-f5bb4eaac256,e612ea29-a772-3244-979c-f5bb4eaac256,"Solid strip and plank flooring, hardwood, E",Solid strip and plank flooring; hardwood,1.0,m3,1.0,PHYSICAL_ALLOCATION
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,0e44e579-abb0-3c77-af64-c774d65be529,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71.0e44e579-abb0-3c77-af64-c774d65be529,0e44e579-abb0-3c77-af64-c774d65be529,"Petroleum refining, at refinery","Gasoline, at refinery",0.570086670859861,l,0.4213,PHYSICAL_ALLOCATION
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,30a64e63-3583-3f83-8d8d-0b6ea003b888,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71.30a64e63-3583-3f83-8d8d-0b6ea003b888,30a64e63-3583-3f83-8d8d-0b6ea003b888,"Petroleum refining, at refinery","Bitumen, at refinery",0.0371747954729888,kg,0.0372,PHYSICAL_ALLOCATION
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,4f1bfabb-f0d3-3f1f-a905-2fd9b36bbfa0,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71.4f1bfabb-f0d3-3f1f-a905-2fd9b36bbfa0,4f1bfabb-f0d3-3f1f-a905-2fd9b36bbfa0,"Petroleum refining, at refinery","Petroleum coke, at refinery",0.0595942417053244,kg,0.0596,PHYSICAL_ALLOCATION
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,5f96ad43-abab-3b62-bcf8-c71f9d6c7881,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71.5f96ad43-abab-3b62-bcf8-c71f9d6c7881,5f96ad43-abab-3b62-bcf8-c71f9d6c7881,"Petroleum refining, at refinery","Petroleum refining coproduct, at refinery",0.0514536791611454,kg,0.0515,PHYSICAL_ALLOCATION
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,813325ee-9eb4-3825-9280-bee7b1a2e9a8,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71.813325ee-9eb4-3825-9280-bee7b1a2e9a8,813325ee-9eb4-3825-9280-bee7b1a2e9a8,"Petroleum refining, at refinery","Liquefied petroleum gas, at refinery",0.0490831775366809,l,0.0266,PHYSICAL_ALLOCATION
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,c4069217-dfd4-324a-9243-2ee8058809d6,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71.c4069217-dfd4-324a-9243-2ee8058809d6,c4069217-dfd4-324a-9243-2ee8058809d6,"Petroleum refining, at refinery","Refinery gas, at refinery",0.0611691306116913,m3,0.0451,PHYSICAL_ALLOCATION
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,c5f94bb1-b39e-39fa-b616-376a30531c2d,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71.c5f94bb1-b39e-39fa-b616-376a30531c2d,c5f94bb1-b39e-39fa-b616-376a30531c2d,"Petroleum refining, at refinery","Kerosene, at refinery",0.112458221473748,l,0.091,PHYSICAL_ALLOCATION
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,d939590b-a0d7-310c-8952-9921ed64a078,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71.d939590b-a0d7-310c-8952-9921ed64a078,d939590b-a0d7-310c-8952-9921ed64a078,"Petroleum refining, at refinery","Diesel, at refinery",0.252345277453289,l,0.2188,PHYSICAL_ALLOCATION
0aaf1e13-5d80-37f9-b7bb-81a6b8965c71,f7c00d19-9601-373a-ba23-593e251b4dee,0aaf1e13-5d80-37f9-b7bb-81a6b8965c71.f7c00d19-9601-373a-ba23-593e251b4dee,f7c00d19-9601-373a-ba23-593e251b4dee,"Petroleum refining, at refinery","Residual fuel oil, at refinery",0.0518260609872601,l,0.0489,PHYSICAL_ALLOCATION
106bcee8-0d5f-30c6-ac98-fa6dab41d4d1,77cbfa28-85c8-3da1-9f3f-1aa00612d97b,106bcee8-0d5f-30c6-ac98-fa6dab41d4d1.77cbfa28-85c8-3da1-9f3f-1aa00612d97b,77cbfa28-85c8-3da1-9f3f-1aa00612d97b,"Wood Combusted, at boiler, at cellulosic fiberboard mill","Wood ash, at boiler, at cellulosic fiberboard mill",0.0190969060508614,kg,0.0187390482077553,PHYSICAL_ALLOCATION
106bcee8-0d5f-30c6-ac98-fa6dab41d4d1,b749402e-e420-3c23-96eb-10e39d0569e3,106bcee8-0d5f-30c6-ac98-fa6dab41d4d1.b749402e-e420-3c23-96eb-10e39d0569e3,b749402e-e420-3c23-96eb-10e39d0569e3,"Wood Combusted, at boiler, at cellulosic fiberboard mill","Wood Combusted, at boiler, at cellulosic fiberboard mill",1.0,kg,0.9812609517922446,PHYSICAL_ALLOCATION
11256034-2355-3add-ade9-59983025dded,8db31b1d-1a59-304c-801f-a3cd8a23ba45,11256034-2355-3add-ade9-59983025dded.8db31b1d-1a59-304c-801f-a3cd8a23ba45,8db31b1d-1a59-304c-801f-a3cd8a23ba45,"Corn, whole plant, at field","Corn, at field",1.0,kg,1.0,PHYSICAL_ALLOCATION
137b2f94-e29e-4870-a2c2-20dafd441f1d,0ef88894-a6b7-415d-88cd-9aefdd14fc3a,137b2f94-e29e-4870-a2c2-20dafd441f1d.0ef88894-a6b7-415d-88cd-9aefdd14fc3a,0ef88894-a6b7-415d-88cd-9aefdd14fc3a,"Steel; pickled hot rolled coil, at plant","Steel; pickled hot rolled coil, at plant",1.0,kg,1.0,PHYSICAL_ALLOCATION
1b8709a5-5df4-4c52-85e4-dd6e7ed8deba,24e6bc97-3d11-4a73-8598-8965c7dd9927,1b8709a5-5df4-4c52-85e4-dd6e7ed8deba.24e6bc97-3d11-4a73-8598-8965c7dd9927,24e6bc97-3d11-4a73-8598-8965c7dd9927,"Steel; sections, at plant","Steel; sections, at plant",1.0,kg,1.0,PHYSICAL_ALLOCATION
1bf86847-c8d5-49d6-b223-ac39940a53f9,2dd9826c-1241-46df-ba80-f6be1ae01c8b,1bf86847-c8d5-49d6-b223-ac39940a53f9.2dd9826c-1241-46df-ba80-f6be1ae01c8b,2dd9826c-1241-46df-ba80-f6be1ae01c8b,Sodium bicarbonate; solvay process; at plant - PROXY,Sodium bicarbonate; at plant,1.0,kg,0.6109729312938329,PHYSICAL_ALLOCATION
1bf86847-c8d5-49d6-b223-ac39940a53f9,db500fb7-bdfa-4435-ad4d-76363b686b63,1bf86847-c8d5-49d6-b223-ac39940a53f9.db500fb7-bdfa-4435-ad4d-76363b686b63,db500fb7-bdfa-4435-ad4d-76363b686b63,Sodium bicarbonate; solvay process; at plant - PROXY,"Ammonium chloride, at plant",0.6367337222,kg,0.3890270687061671,PHYSICAL_ALLOCATION
1fe9b61c-f684-3584-a5e9-98677caee0f3,8bb065f1-654b-3f5c-b9cf-2d66d92e8c19,1fe9b61c-f684-3584-a5e9-98677caee0f3.8bb065f1-654b-3f5c-b9cf-2d66d92e8c19,8bb065f1-654b-3f5c-b9cf-2d66d92e8c19,"Soy biodiesel, production, at plant","Soy biodiesel, production, at plant",3.36,kg,0.8929045973956949,PHYSICAL_ALLOCATION
1fe9b61c-f684-3584-a5e9-98677caee0f3,9d4fa335-7916-3bf5-be4d-814cbb176908,1fe9b61c-f684-3584-a5e9-98677caee0f3.9d4fa335-7916-3bf5-be4d-814cbb176908,9d4fa335-7916-3bf5-be4d-814cbb176908,"Soy biodiesel, production, at plant","Glycerin, at plant",0.403,kg,0.107095402604305,PHYSICAL_ALLOCATION
2250f2f2-7faa-3307-9534-ca78b371b4dd,88f1219a-d464-3e29-b43d-7a4d6ca4db8d,2250f2f2-7faa-3307-9534-ca78b371b4dd.88f1219a-d464-3e29-b43d-7a4d6ca4db8d,88f1219a-d464-3e29-b43d-7a4d6ca4db8d,"Steel, cold-formed studs and track, at plant","Steel, cold-formed studs and track, at plant",1.0,kg,1.0,PHYSICAL_ALLOCATION
2468b04f-b9b1-364d-bfbf-8ba12178096e,09158da1-b29b-33c9-9b80-baa6618ee541,2468b04f-b9b1-364d-bfbf-8ba12178096e.09158da1-b29b-33c9-9b80-baa6618ee541,2468b04f-b9b1-364d-bfbf-8ba12178096e.09158da1-b29b-33c9-9b80-baa6618ee541.09158da1-b29b-33c9-9b80-baa6618ee541,"Sawn lumber, hardwood, rough, green, at sawmill, NE-NC",Sawdust; hardwood; green; at sawmill,0.0801,kg,0.0414,PHYSICAL_ALLOCATION
2468b04f-b9b1-364d-bfbf-8ba12178096e,6170b901-641c-3088-a8c0-799f9e5f766f,2468b04f-b9b1-364d-bfbf-8ba12178096e.6170b901-641c-3088-a8c0-799f9e5f766f,2468b04f-b9b1-364d-bfbf-8ba12178096e.6170b901-641c-3088-a8c0-799f9e5f766f.6170b901-641c-3088-a8c0-799f9e5f766f,"Sawn lumber, hardwood, rough, green, at sawmill, NE-NC",Sawn lumber; hardwood; rough; green; at sawmill,1.0,kg,0.6077,PHYSICAL_ALLOCATION
2468b04f-b9b1-364d-bfbf-8ba12178096e,851dabd1-801f-3582-8b29-a3cdd6f65473,2468b04f-b9b1-364d-bfbf-8ba12178096e.851dabd1-801f-3582-8b29-a3cdd6f65473,2468b04f-b9b1-364d-bfbf-8ba12178096e.851dabd1-801f-3582-8b29-a3cdd6f65473.851dabd1-801f-3582-8b29-a3cdd6f65473,"Sawn lumber, hardwood, rough, green, at sawmill, NE-NC",Wood fuel; hardwood; green; at sawmill,0.238,kg,0.1611,PHYSICAL_ALLOCATION
2468b04f-b9b1-364d-bfbf-8ba12178096e,9d8c4200-5dc8-3515-9c23-31c577722fce,2468b04f-b9b1-364d-bfbf-8ba12178096e.9d8c4200-5dc8-3515-9c23-31c577722fce,2468b04f-b9b1-364d-bfbf-8ba12178096e.9d8c4200-5dc8-3515-9c23-31c577722fce.9d8c4200-5dc8-3515-9c23-31c577722fce,"Sawn lumber, hardwood, rough, green, at sawmill, NE-NC",Hogged fuel; hardwood; green; at sawmill,0.036,kg,0.0225,PHYSICAL_ALLOCATION
