id1,id2,flow,unit,description,type,emission_id,database,,,
"('biosphere3', '048baf1e-6cdc-44a5-92e2-32d15ff54885')",048baf1e-6cdc-44a5-92e2-32d15ff54885,1-Pentanol,kilogram,air,emission,048baf1e-6cdc-44a5-92e2-32d15ff54885,biosphere3,,,
"('biosphere3', '8d28a5b3-1b1c-41e9-9eba-90c607aad7db')",8d28a5b3-1b1c-41e9-9eba-90c607aad7db,1-Pentanol,kilogram,water; ocean,emission,8d28a5b3-1b1c-41e9-9eba-90c607aad7db,biosphere3,,,
"('biosphere3', '5074e239-b510-49aa-928c-fcdb462481d8')",5074e239-b510-49aa-928c-fcdb462481d8,1-Pentanol,kilogram,water; ground-,emission,5074e239-b510-49aa-928c-fcdb462481d8,biosphere3,,,
"('biosphere3', '070dc6b3-0976-45a0-803e-0a87d7e96959')",070dc6b3-0976-45a0-803e-0a87d7e96959,1-Pentanol,kilogram,water,emission,070dc6b3-0976-45a0-803e-0a87d7e96959,biosphere3,,,
"('biosphere3', '541a823c-0aad-4dc4-9123-d4af4647d942')",541a823c-0aad-4dc4-9123-d4af4647d942,1-Pentanol,kilogram,air; urban air close to ground,emission,541a823c-0aad-4dc4-9123-d4af4647d942,biosphere3,,,
"('biosphere3', 'cc9a442f-c96a-4bdc-990d-8b58f72b4e07')",cc9a442f-c96a-4bdc-990d-8b58f72b4e07,1-Pentanol,kilogram,air; non-urban air or from high stacks,emission,cc9a442f-c96a-4bdc-990d-8b58f72b4e07,biosphere3,,,
"('biosphere3', '9dd01d5b-3677-4822-9cd4-36d21b0e23d1')",9dd01d5b-3677-4822-9cd4-36d21b0e23d1,1-Pentanol,kilogram,"air; low population density, long-term",emission,9dd01d5b-3677-4822-9cd4-36d21b0e23d1,biosphere3,,,
"('biosphere3', 'b78e77cb-7636-4420-855e-17239984f8b3')",b78e77cb-7636-4420-855e-17239984f8b3,1-Pentanol,kilogram,air; lower stratosphere + upper troposphere,emission,b78e77cb-7636-4420-855e-17239984f8b3,biosphere3,,,
"('biosphere3', 'e4526360-b2a1-4e77-9f00-57dbfe228bde')",e4526360-b2a1-4e77-9f00-57dbfe228bde,1-Pentanol,kilogram,water; surface water,emission,e4526360-b2a1-4e77-9f00-57dbfe228bde,biosphere3,,,
"('biosphere3', 'cfa50eaf-a817-4352-b9fe-aa834240d269')",cfa50eaf-a817-4352-b9fe-aa834240d269,1-Pentanol,kilogram,"water; ground-, long-term",emission,cfa50eaf-a817-4352-b9fe-aa834240d269,biosphere3,,,
