activity_name,activity_db,activity_code,reference_product,activity_unit,location,production_amount,functional_unit_amount,method_1,method_2,method_3,method_str,method_unit,lcia_score
Electricity; at user; consumption mix - MISO - FERC,uslci_database529,2f731611-19ce-32ff-b8d9-807a27c342da,"Electricity, AC, 120 V",MJ,MISO,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.17033388103718336
"Transport, single unit truck, compressed natural gas powered, South",uslci_database529,a03573cf-b7a1-3a24-bc92-d1eafeffa261,"Transport, single unit truck, compressed natural gas powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.15576373279894587
Electricity - HYDRO - Duke Energy Progress East,uslci_database529,081ab69f-62e1-37cd-b174-f8b092dd0442,"Electricity, AC, 2300-7650 V",MJ,Duke Energy Progress East,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0019815001773422053
Electricity - GEOTHERMAL - PacifiCorp East,uslci_database529,b0393ee3-4d0b-37ce-a3bf-0ab6bc461027,"Electricity, AC, 2300-7650 V",MJ,PacifiCorp East,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.00787784048435481
Electricity - HYDRO - PacifiCorp East,uslci_database529,c29514c6-f5b9-3f3b-9cc9-9cea17dfa61a,"Electricity, AC, 2300-7650 V",MJ,PacifiCorp East,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0037357835099101067
power plant construction - wind_const - PacifiCorp - East,uslci_database529,d5b6359a-dcf7-3e3d-bf39-656114f23a5c,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,14.739711362526021
"Heat, onsite boiler, hardwood mill average, NE-NC",uslci_database529,6b80eeee-54ed-3f0f-82cd-8c29e3aa5d24.97624ce0-6d6a-3376-bfa7-c663b3c7e48d,Electricity; onsite boiler; hardwood mill; average,kWh,US,0.24850000000000003,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.34715380931522377
Electricity - HYDRO - New York Independent System Operator,uslci_database529,7ff65272-ba66-36e0-9b21-c1ef518c9a3a,"Electricity, AC, 2300-7650 V",MJ,New York Independent System Operator,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0010237701935693622
"Medium density fiberboard (MDF), at MDF mill",uslci_database529,4e01da4a-71e5-3d9d-93c3-0f0a230f2735.5eead0e3-01ba-3a72-8e10-f9c865857a61,"Wood waste, at MDF mill",kg,Northern America,877.9618922396597,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.3143346805507155
power plant construction - wind_const - El Paso Electric Company,uslci_database529,5d361c32-81e0-3964-8ac4-a0b52d67f0ca,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,23.59352907354021
"Transport, combination truck, long-haul, compressed natural gas powered, South",uslci_database529,e9d0fe6d-9513-3c53-9b44-fee94c32c4e6,"Transport, combination truck, long-haul, compressed natural gas powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.06853343057004446
"Transport, light commercial truck, electricity powered, Southeast",uslci_database529,45fb1ede-00f7-3297-9766-a0aba77c4024,"Transport, light commercial truck, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.12398503446846455
Electricity - SOLAR - Gainesville Regional Utilities,uslci_database529,7f18060f-81ac-3985-afdd-976caa30cfab,"Electricity, AC, 2300-7650 V",MJ,Gainesville Regional Utilities,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.016585466377511557
"Transport, light commercial truck, diesel powered, East North Central",uslci_database529,75b40b26-f169-34f0-9991-c617151c7665,"Transport, light commercial truck, diesel powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.4850742943081149
Electricity; at grid; consumption mix - MISO - FERC,uslci_database529,b0409803-c76b-317d-87bc-b73b799d7264,"Electricity, AC, 2300-7650 V",MJ,MISO,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.16276837773184852
