domain,exchange_flow_name,exchange_supplying_process_id,exchange_supplying_process_location,exchange_supplying_process_name,info_process_id,info_process_location,info_process_name,info_unit,n_row_amount,n_row_unit,process_name,reason
technosphere,Other basic organic chemicals,Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.91,USD,"Acetone, liquid Bridge; USLCI to USEEIO",Cutoff dummy flow skipped
technosphere,Other basic inorganic chemicals,Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.32,USD,"Aluminium sulphate, powder Bridge; USLCI to USEEIO",Cutoff dummy flow skipped
technosphere,Secondary fuel,Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,35.828,MJ,"Aluminum, cold rolling, at plant",Cutoff dummy flow skipped
technosphere,Chemicals (unspecified),Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.03274,kg,"Aluminum, cold rolling, at plant",Cutoff dummy flow skipped
technosphere,"Ferromanganese, at furnace",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.3214e-14,kg,"Aluminum, cold rolling, at plant",Cutoff dummy flow skipped
technosphere,"Steel scrap, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.035014,kg,"Aluminum, cold rolling, at plant",Cutoff dummy flow skipped
technosphere,"Aluminum, scrap",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,648.99,kg,"Aluminum, cold rolling, at plant",Cutoff dummy flow skipped
technosphere,Secondary fuel,Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,116.36,MJ,"Aluminum, extrusion, at plant",Cutoff dummy flow skipped
technosphere,"Aluminum, scrap",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,426.11,kg,"Aluminum, extrusion, at plant",Cutoff dummy flow skipped
technosphere,"Ferromanganese, at furnace",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.9063e-14,kg,"Aluminum, extrusion, at plant",Cutoff dummy flow skipped
technosphere,"Steel scrap, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.1086,kg,"Aluminum, extrusion, at plant",Cutoff dummy flow skipped
technosphere,Secondary fuel,Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,25.675,MJ,"Aluminum, hot rolling, at plant",Cutoff dummy flow skipped
technosphere,"Ferromanganese, at furnace",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,9.1192e-15,kg,"Aluminum, hot rolling, at plant",Cutoff dummy flow skipped
technosphere,"Aluminum, scrap",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,717.98,kg,"Aluminum, hot rolling, at plant",Cutoff dummy flow skipped
technosphere,"Steel scrap, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.0094742,kg,"Aluminum, hot rolling, at plant",Cutoff dummy flow skipped
technosphere,Secondary fuel,Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.048179,MJ,"Aluminum, primary ingot, at plant",Cutoff dummy flow skipped
technosphere,"Ferromanganese, at furnace",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,2.1827e-17,kg,"Aluminum, primary ingot, at plant",Cutoff dummy flow skipped
technosphere,Secondary fuel,Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,7.8634,MJ,"Aluminum, secondary ingot, at plant",Cutoff dummy flow skipped
technosphere,"Aluminum, scrap",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1044.6,kg,"Aluminum, secondary ingot, at plant",Cutoff dummy flow skipped
technosphere,"Steel scrap, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.011651,kg,"Aluminum, secondary ingot, at plant",Cutoff dummy flow skipped
technosphere,"Ferromanganese, at furnace",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.3277e-15,kg,"Aluminum, secondary ingot, at plant",Cutoff dummy flow skipped
